time,seconds_elapsed,z,y,x
1772618954039581000,0.080580810546875,-0.027870588222146032,0.030108722537755966,0.1274237626576796
1772618954049611800,0.09061181640625,-0.011420973202586173,0.047494887755066155,0.15820201848745344
1772618954059643100,0.10064306640625,0.028446926805377006,0.05091609437540173,0.21612916066870091
1772618954069672700,0.110672607421875,0.07280044779479503,0.047830257189273834,0.2830491355901584
1772618954079703800,0.120703857421875,0.12236615047454834,0.026521073309332132,0.29121421226933597
1772618954089734000,0.13073388671875,0.10011690926551818,0.028092852670699355,0.306996741682291
1772618954099764700,0.1407646484375,0.03963292220830917,0.06139204181283712,0.2848187025459483
1772618954109795800,0.1507958984375,-0.02694879720211029,0.069554451610893,0.2614429415250197
1772618954119826000,0.160825927734375,-0.039616555595397944,0.09100026748254894,0.23334347645044326
1772618954129856800,0.170856689453125,-0.07845218994617462,0.12362930227816105,0.18392448876500128
1772618954139887900,0.180887939453125,-0.07032908924520015,0.11803425875008106,0.1553582829615101
1772618954149918000,0.19091796875,-0.07774784106910228,0.12457242834717035,0.2003993843562901
1772618954159948800,0.20094873046875,-0.10663491285741329,0.12932049965709447,0.20103633055295794
1772618954169979000,0.210978759765625,-0.14070552476346493,0.13064093460589646,0.1953594174277037
1772618954180009700,0.221009765625,-0.15511691195368765,0.1379207163505256,0.2264207645151764
1772618954190040800,0.231040771484375,-0.1521259134441614,0.11285203380659221,0.2729659503299743
1772618954200071000,0.24107080078125,-0.14854922400116918,0.11889599014595151,0.272498661611788
1772618954210101800,0.251101806640625,-0.12653788320124149,0.12162132345661521,0.30327406789734956
1772618954220132900,0.2611328125,-0.09976210447847843,0.09911065483242273,0.30447960776221006
1772618954230163000,0.271162841796875,-0.0508989971101284,0.07594897495359182,0.26631493147555735
1772618954240193800,0.28119384765625,-0.024577976417541503,0.04793152560666203,0.25443788506854326
1772618954250223900,0.291223876953125,-0.04060965828597545,0.0317825009688735,0.2282123241070658
1772618954260255000,0.3012548828125,-0.03116729167997837,0.017529665341228247,0.18194445739630608
1772618954270285800,0.311285888671875,-0.05978548339903354,0.012726648973673581,0.1762312673812732
1772618954280316000,0.32131591796875,-0.06366612422466278,0.007200286767631769,0.18856683467812835
1772618954290346800,0.3313466796875,-0.050182957795262335,-0.03846826234310865,0.18027941026091573
1772618954300376800,0.341376953125,-0.07366554019153118,-0.051527942663431164,0.1524242022709921
1772618954310408000,0.351407958984375,-0.06935293768942356,-0.06825140618830919,0.14711301718559117
1772618954320438800,0.361438720703125,-0.004465162715315819,-0.1083997305728495,0.12904570130370557
1772618954330468900,0.37146875,0.027128245422244072,-0.13058818150535226,0.11225534655507653
1772618954340500000,0.3815,0.06628887394368649,-0.13631284276247024,0.09450696042925119
1772618954350530800,0.39153076171875,0.07430442261695862,-0.12619769146144388,0.09513963230960071
