time,seconds_elapsed,z,y,x
1772619575797247000,0.0782470703125,-0.11410336196422577,0.04868253692984581,0.037830863147974014
1772619575807277800,0.08827783203125,-0.13194535672664642,0.016574125736951828,0.08061841130256653
1772619575817310000,0.09831005859375,-0.13570839166641235,0.01947697252035141,0.12650175392627716
1772619575827340800,0.1083408203125,-0.12875401973724365,0.036094944924116135,0.16486558318138123
1772619575837372000,0.118371826171875,-0.12132459878921509,0.05085711181163788,0.18160781264305115
1772619575847402800,0.12840283203125,-0.11884960532188416,0.05920474976301193,0.17398840188980103
1772619575857433900,0.138433837890625,-0.13712315261363983,0.048393916338682175,0.15008732676506042
1772619575867464700,0.148464599609375,-0.16819079220294952,0.01526791974902153,0.09853971749544144
1772619575877495800,0.158495849609375,-0.20427502691745758,-0.03427246958017349,0.03958505019545555
1772619575887526700,0.168526611328125,-0.23487554490566254,-0.09515446424484253,-0.011463485658168793
1772619575897558000,0.17855810546875,-0.25375601649284363,-0.15070295333862305,-0.048148263245821
1772619575907588900,0.1885888671875,-0.25364670157432556,-0.18180622160434723,-0.0651034265756607
1772619575917620000,0.198619873046875,-0.24000385403633118,-0.1885533481836319,-0.061379265040159225
1772619575927650800,0.20865087890625,-0.22236143052577972,-0.17480389773845673,-0.04621685668826103
1772619575937682000,0.218681884765625,-0.20111951231956482,-0.142744243144989,-0.022632168605923653
1772619575947713000,0.228713134765625,-0.17516304552555084,-0.10071881115436554,-0.0016198053490370512
1772619575957743900,0.238743896484375,-0.15445376932621002,-0.059659525752067566,0.004916657228022814
1772619575967775700,0.248775634765625,-0.12880873680114746,-0.02315007895231247,-0.008018680848181248
1772619575977806800,0.258806884765625,-0.10940814763307571,0.014180248603224754,-0.0422525517642498
1772619575987837700,0.268837646484375,-0.08961708843708038,0.04188130050897598,-0.09471343457698822
1772619575997868800,0.278868896484375,-0.07191772013902664,0.048087529838085175,-0.15173038840293884
1772619576007899600,0.288899658203125,-0.059011589735746384,0.04584361985325813,-0.20327071845531464
1772619576017930800,0.2989306640625,-0.05749624967575073,0.03374301642179489,-0.24827174842357635
1772619576027961900,0.3089619140625,-0.06543359905481339,0.03647397831082344,-0.27879205346107483
1772619576037993000,0.318992919921875,-0.07653099298477173,0.0483173206448555,-0.29899266362190247
1772619576048024000,0.329024169921875,-0.08436132967472076,0.07337608188390732,-0.3262808918952942
1772619576058055000,0.339054931640625,-0.09341342002153397,0.07411963492631912,-0.3571442663669586
1772619576068086000,0.3490859375,-0.10041841119527817,0.04379591718316078,-0.4057937264442444
1772619576078116900,0.359116943359375,-0.10590612143278122,-0.02101343870162964,-0.4816003441810608
1772619576088148000,0.36914794921875,-0.10712208598852158,-0.10247863829135895,-0.5746813416481018
1772619576098178800,0.3791787109375,-0.12418922036886215,-0.16911491751670837,-0.6781318187713623
1772619576108210700,0.389210693359375,-0.14026287198066711,-0.21454401314258575,-0.7885252237319946
1772619576118241800,0.39924169921875,-0.1593066155910492,-0.24269922077655792,-0.8788695335388184
1772619576128273000,0.40927294921875,-0.18314138054847717,-0.24747343361377716,-0.9329615831375122
1772619576138303700,0.4193037109375,-0.22522172331809998,-0.23415522277355194,-0.9464848041534424
1772619576148335000,0.429335205078125,-0.2748852074146271,-0.2003028839826584,-0.9355021715164185
1772619576158366000,0.439365966796875,-0.3157418370246887,-0.13722430169582367,-0.9051564931869507
1772619576168397000,0.44939697265625,-0.3406223654747009,-0.03624138608574867,-0.847305178642273
1772619576178428000,0.459427978515625,-0.34219762682914734,0.11314623802900314,-0.7575638890266418
1772619576188459000,0.469458984375,-0.3325275182723999,0.29651153087615967,-0.6488772630691528
1772619576198489900,0.47948974609375,-0.31370723247528076,0.4802755117416382,-0.5375970602035522
1772619576208521000,0.48952099609375,-0.28492873907089233,0.6406481266021729,-0.4363698661327362
1772619576218551800,0.4995517578125,-0.26335659623146057,0.762798547744751,-0.36205142736434937
