time,seconds_elapsed,z,y,x
1772786301499703300,0.054703369140625,-0.20993100106716156,0.07909440994262695,0.26450225710868835
1772786301509719000,0.064718994140625,-0.14994190633296967,0.10165785253047943,0.2836909294128418
1772786301519735300,0.0747353515625,-0.10788899660110474,0.12496956437826157,0.25802579522132874
1772786301529751300,0.084751220703125,-0.07816078513860703,0.13371634483337402,0.2224275767803192
1772786301539767300,0.094767333984375,-0.044820938259363174,0.1262323260307312,0.18428391218185425
1772786301549783300,0.104783203125,-0.010471232235431671,0.1190638318657875,0.14713813364505768
1772786301559799300,0.11479931640625,0.022181786596775055,0.11832320690155029,0.12136725336313248
1772786301569815000,0.12481494140625,0.06324183940887451,0.10806646198034286,0.1075068786740303
1772786301579831000,0.1348310546875,0.09496035426855087,0.12222888320684433,0.11495707184076309
1772786301589847300,0.144847412109375,0.12490057200193405,0.136155903339386,0.14291121065616608
1772786301599863300,0.15486328125,0.14780856668949127,0.1568443924188614,0.17894750833511353
1772786301609879300,0.16487939453125,0.15762440860271454,0.17411750555038452,0.2150464951992035
1772786301619895000,0.17489501953125,0.15615354478359222,0.1888357251882553,0.24910326302051544
1772786301629911000,0.1849111328125,0.17053543031215668,0.20333324372768402,0.2843230664730072
1772786301639926800,0.1949267578125,0.19858144223690033,0.185475155711174,0.3003110885620117
1772786301649942800,0.20494287109375,0.23205426335334778,0.14219222962856293,0.28764259815216064
1772786301659958800,0.214958740234375,0.2544868588447571,0.10389969497919083,0.2502121329307556
1772786301669975000,0.22497509765625,0.2722748816013336,0.09494969248771667,0.20259299874305725
1772786301679991000,0.234990966796875,0.300972580909729,0.0987689346075058,0.1674288809299469
1772786301690007000,0.245007080078125,0.3494672477245331,0.12323221564292908,0.15602430701255798
1772786301700023000,0.25502294921875,0.40774837136268616,0.15388520061969757,0.15632417798042297
1772786301710038800,0.265038818359375,0.45572516322135925,0.19505420327186584,0.1714804470539093
1772786301720054800,0.2750546875,0.4799748659133911,0.17725177109241486,0.2014220952987671
1772786301730070800,0.28507080078125,0.4906363785266876,0.19339416921138763,0.25876370072364807
1772786301740087000,0.295087158203125,0.5176581144332886,0.24049164354801178,0.32435521483421326
1772786301750103000,0.30510302734375,0.5473591089248657,0.20885121822357178,0.37648552656173706
1772786301760119000,0.315119140625,0.5853988528251648,0.21798719465732574,0.41414421796798706
1772786301770135000,0.325135009765625,0.6142919063568115,0.21448637545108795,0.42335245013237
1772786301780151800,0.33515185546875,0.5795443058013916,0.06292348355054855,0.3807067275047302
1772786301790168000,0.34516796875,0.4668484628200531,-0.21951837837696075,0.2990069091320038
1772786301800184000,0.35518408203125,0.35940083861351013,-0.3791924715042114,0.2277793288230896
1772786301810200000,0.365199951171875,0.33876925706863403,-0.3296314477920532,0.17071545124053955
1772786301820216000,0.375216064453125,0.4503413438796997,-0.14994849264621735,0.11137223243713379
1772786301830231800,0.385231689453125,0.6412325501441956,0.04919779673218727,0.10172756761312485
1772786301840247800,0.395247802734375,0.789221465587616,0.18066473305225372,0.17425130307674408
1772786301850263800,0.405263916015625,0.8059172630310059,0.24768246710300446,0.2395729422569275
1772786301860280000,0.415280029296875,0.6513726711273193,0.17112722992897034,0.2188681960105896
1772786301870296000,0.425296142578125,0.4409712851047516,0.08164091408252716,0.17832964658737183
1772786301880312000,0.43531201171875,0.3046150505542755,0.018532251939177513,0.20657752454280853
1772786301890327800,0.445327880859375,0.2535357177257538,0.045081380754709244,0.2943456172943115
1772786301900343800,0.45534375,0.2515338361263275,0.08133897930383682,0.37514805793762207
1772786301910359800,0.46535986328125,0.27332669496536255,0.07218583673238754,0.4184475541114807
1772786301920375800,0.475375732421875,0.29102712869644165,0.03677618131041527,0.41662299633026123
1772786301930392000,0.48539208984375,0.27393877506256104,-0.02337934449315071,0.37692880630493164
1772786301940408000,0.495407958984375,0.2159140706062317,-0.07569608092308044,0.32887473702430725
1772786301950424000,0.505424072265625,0.16229259967803955,-0.09669330716133118,0.28502485156059265
1772786301960439800,0.515439697265625,0.13220447301864624,-0.09980254620313644,0.24644283950328827
1772786301970455800,0.525455810546875,0.14240682125091553,-0.128790020942688,0.19378013908863068
1772786301980471800,0.535471923828125,0.1876523345708847,-0.18475528061389923,0.12639710307121277
1772786301990488000,0.545488037109375,0.23296944797039032,-0.23415809869766235,0.06631063669919968
1772786302000504000,0.555504150390625,0.25129199028015137,-0.26952967047691345,0.024428701028227806
1772786302010520000,0.56552001953125,0.2402792125940323,-0.3194456994533539,-0.006795854773372412
1772786302020536000,0.5755361328125,0.23689940571784973,-0.3502289056777954,-0.021621938794851303
1772786302030551800,0.5855517578125,0.24714449048042297,-0.357982337474823,-0.028688298538327217
1772786302040567800,0.59556787109375,0.25063270330429077,-0.31629082560539246,-0.02617880143225193
